postcode,inwoners,huishoudens,eenpersoonshuishoudens,meerpersoonshuishoudens,mediaan huishoudinkomen,gemiddeld huishoudinkomen,% laag huishoudinkomen,% hoog huishoudinkomen,% koopwoningen,% huurwoningen,gemiddelde woningwaarde,woningwaarde klasse,supermarkt - afstand,café - afstand,hotel - afstand,restaurant - afstand,treinstation - afstand,attractiepark - afstand,zwembad - afstand,bioscoop - afstand,museum - afstand
1104,15.840,8.145,4.445,3.700,20-40 onder midden,25100,61%,9%,30%,70%,327000,€300.000 tot €350.000,"0,70","0,90","1,40","0,70","4,30","3,30","2,40","3,70","5,70"
1105,2.810,2.170,1.765,410,00-20 laag,15300,90%,2%,0%,100%,191000,€150.000 tot €200.000,"0,40","0,90","1,40","0,70","5,00","3,40","3,10","3,10","6,00"
1106,17.905,8.770,4.235,4.535,20-40 onder midden,27000,55%,10%,30%,70%,334000,€300.000 tot €350.000,"0,90","1,30","2,50","0,80","5,20","2,10","3,20","4,10","7,00"
1107,11.570,5.975,3.025,2.950,20-40 onder midden,27100,55%,9%,30%,70%,335000,€300.000 tot €350.000,"0,90","1,20","3,20","0,80","6,00","2,30","4,00","4,90","7,80"
1108,3.135,1.875,1.075,800,40-60 midden,30700,51%,9%,40%,60%,327000,€300.000 tot €350.000,"1,60","1,40","1,00","1,60","4,60","2,60","2,60","3,90","5,70"
1109,1.675,685,190,500,40-60 midden,35000,33%,26%,60%,40%,474000,€400.000 tot €500.000,"2,90","2,90","2,50","2,10","3,60","4,80","2,60","7,50","2,90"
1381,5.330,2.565,1.085,1.480,40-60 midden,39600,38%,28%,60%,40%,541000,€500.000 tot €750.000,"0,90","0,80","1,10","0,50","1,40","7,80","2,90","9,40","0,80"
1382,10.315,4.950,2.200,2.755,40-60 midden,33900,43%,20%,50%,50%,405000,€400.000 tot €500.000,"0,70","0,90","0,80","0,40","1,10","8,00","3,20","9,80","1,10"
1383,3.560,1.600,495,1.105,40-80 midden tot boven midden,36200,30%,26%,70%,30%,447000,€400.000 tot €500.000,"0,60","0,70","1,80","0,80","2,20","7,50","2,70","9,30","1,50"
1384,4.380,970,115,855,80-100 hoog,56500,2%,81%,100%,0%,769000,€750.000 of meer,"1,90","1,40","1,80","1,50","1,50","9,10","4,30","10,90","1,80"
